question,soru,cevap,countAnswer,percentage
109,Aşağıdakilerden hangisi senin beslenme biçimini tanımlar?,"Omnivor: Belirli bir kurala bağlı kalmadan, tamamen kendi inisiyatifime göre hayvansal gıda tüketmiyorum.",11292,0.075
109,Aşağıdakilerden hangisi senin beslenme biçimini tanımlar?,Fruiyarianlar: Meyve ile besleniyorum.,764,0.0051
109,Aşağıdakilerden hangisi senin beslenme biçimini tanımlar?,Hiçbiri,122530,0.8134
110,Evde kaç kişi yaşıyorsunuz?,1,1027,0.0317
110,Evde kaç kişi yaşıyorsunuz?,2,7320,0.226
110,Evde kaç kişi yaşıyorsunuz?,3,6291,0.1943
110,Evde kaç kişi yaşıyorsunuz?,4,8970,0.277
110,Evde kaç kişi yaşıyorsunuz?,5 ve üstü,8776,0.271
111,Evindeki bireyleri hangisi daha doğru ifade ediyor?,Yalnız yaşıyorum.,3449,0.0929
111,Evindeki bireyleri hangisi daha doğru ifade ediyor?,Arkadaş grubuyuz.,1067,0.0287
111,Evindeki bireyleri hangisi daha doğru ifade ediyor?,Genç çiftiz.,7775,0.2093
111,Evindeki bireyleri hangisi daha doğru ifade ediyor?,Genç çiftiz ve bebeğimiz var.,3222,0.0867
111,Evindeki bireyleri hangisi daha doğru ifade ediyor?,Orta yaşlı çiftiz.,1096,0.0295
111,Evindeki bireyleri hangisi daha doğru ifade ediyor?,Orta yaşlı çift ve çocuklar/gençler var.,13047,0.3513
111,Evindeki bireyleri hangisi daha doğru ifade ediyor?,Aile büyüklerinin de olduğu kalabalık bir aileyiz (üç nesil).,7487,0.2016
112,Cilt tipin için hangisini söyleyebilirsin?,Karma,18855,0.4641
112,Cilt tipin için hangisini söyleyebilirsin?,Kuru,7509,0.1848
112,Cilt tipin için hangisini söyleyebilirsin?,Normal,5846,0.1439
112,Cilt tipin için hangisini söyleyebilirsin?,Yağlı,7965,0.196
112,Cilt tipin için hangisini söyleyebilirsin?,Diğer,454,0.0112
113,Ailenin aylık ortalama geliri nedir?,2.000 TL altı,11043,0.1947
113,Ailenin aylık ortalama geliri nedir?,2.000 TL - 2.999 TL,12979,0.2289
113,Ailenin aylık ortalama geliri nedir?,3.000 TL - 4.999 TL,13993,0.2467
113,Ailenin aylık ortalama geliri nedir?,5.000 TL - 6.999 TL,8853,0.1561
113,Ailenin aylık ortalama geliri nedir?,7.000 TL - 9.999 TL,5609,0.0989
113,Ailenin aylık ortalama geliri nedir?,10.000 TL - 19.999 TL,2855,0.0503
113,Ailenin aylık ortalama geliri nedir?,20.000 TL ve üstü,1380,0.0243
114,Bireysel ihtiyaçların için aylık ortalama ne kadar harcıyorsun?,200 TL altı,44846,0.5026
114,Bireysel ihtiyaçların için aylık ortalama ne kadar harcıyorsun?,200 TL - 499 TL,24827,0.2783
114,Bireysel ihtiyaçların için aylık ortalama ne kadar harcıyorsun?,500 TL – 999 TL,10678,0.1197
114,Bireysel ihtiyaçların için aylık ortalama ne kadar harcıyorsun?,1.000 TL – 1.999 TL,4943,0.0554
114,Bireysel ihtiyaçların için aylık ortalama ne kadar harcıyorsun?,2.000 TL - 2.999 TL,1969,0.0221
114,Bireysel ihtiyaçların için aylık ortalama ne kadar harcıyorsun?,3.000 TL - 4.999 TL,833,0.0093
114,Bireysel ihtiyaçların için aylık ortalama ne kadar harcıyorsun?,5.000 TL ve üstü,1127,0.0126
115,Pahalı ama çok beğendiğin bir ürün almak istediğinde hangi durum seni en iyi yansıtıyor?,"Gelirim/harçlığım genellikle yeterli, çok beğenirsem alırım.",37167,0.2304
115,Pahalı ama çok beğendiğin bir ürün almak istediğinde hangi durum seni en iyi yansıtıyor?,Sevdiklerim sayesinde ilk doğum günümde aldırırım.,7188,0.0446
115,Pahalı ama çok beğendiğin bir ürün almak istediğinde hangi durum seni en iyi yansıtıyor?,Her zaman yedekte param var ve gerekirse kullanırım.,27022,0.1675
115,Pahalı ama çok beğendiğin bir ürün almak istediğinde hangi durum seni en iyi yansıtıyor?,Sanırım biraz daha beklemem gerekir.,89909,0.5575
116,Son zamanlarda hangi hijyenik ped markasını kadınların her alanda yanında hissediyorsun?,Orkid,29341,0.2807
116,Son zamanlarda hangi hijyenik ped markasını kadınların her alanda yanında hissediyorsun?,Kotex,41445,0.3966
116,Son zamanlarda hangi hijyenik ped markasını kadınların her alanda yanında hissediyorsun?,Molped,16035,0.1534
116,Son zamanlarda hangi hijyenik ped markasını kadınların her alanda yanında hissediyorsun?,Sleepy,11187,0.107
116,Son zamanlarda hangi hijyenik ped markasını kadınların her alanda yanında hissediyorsun?,Diğer,6504,0.0622
117,Hamileliğini planlarken Folik Asit takviyesi kullanmış mıydın?,"Evet, planlıydı ve folik asit kullandım.",15538,0.1138
117,Hamileliğini planlarken Folik Asit takviyesi kullanmış mıydın?,"Hayır, planlıydı ama folik asit kullanmadım.",7475,0.0547
117,Hamileliğini planlarken Folik Asit takviyesi kullanmış mıydın?,"Hamileliğim plansız oldu, dolayısı ile folik asit kullanmadım.",5860,0.0429
117,Hamileliğini planlarken Folik Asit takviyesi kullanmış mıydın?,Hamile değilim.,107694,0.7886
118,Çocuğun var mı?,Yok.,10104,0.8697
118,Çocuğun var mı?,1 çocuğum var.,972,0.0837
118,Çocuğun var mı?,2 çocuğum var.,437,0.0376
118,Çocuğun var mı?,2’den fazla çocuğum var.,105,0.009
119,Aşağıdaki bakım ürünlerinden hangilerini düzenli olarak kullanıyorsun? (Bu soruya birden fazla cevap verebilirsin.),Ağda ve tüy dökücüler,5086,0.0719
119,Aşağıdaki bakım ürünlerinden hangilerini düzenli olarak kullanıyorsun? (Bu soruya birden fazla cevap verebilirsin.),Ağız bakımı ürünleri,7073,0.1
119,Aşağıdaki bakım ürünlerinden hangilerini düzenli olarak kullanıyorsun? (Bu soruya birden fazla cevap verebilirsin.),Deodorant,7346,0.1038
119,Aşağıdaki bakım ürünlerinden hangilerini düzenli olarak kullanıyorsun? (Bu soruya birden fazla cevap verebilirsin.),Dudak bakımı ürünleri,5150,0.0728
119,Aşağıdaki bakım ürünlerinden hangilerini düzenli olarak kullanıyorsun? (Bu soruya birden fazla cevap verebilirsin.),Duş ve banyo ürünleri,7985,0.1128
119,Aşağıdaki bakım ürünlerinden hangilerini düzenli olarak kullanıyorsun? (Bu soruya birden fazla cevap verebilirsin.),El & ayak bakımı ürünleri,4344,0.0614
119,Aşağıdaki bakım ürünlerinden hangilerini düzenli olarak kullanıyorsun? (Bu soruya birden fazla cevap verebilirsin.),Göz makyajı & bakımı ürünleri,4683,0.0662
119,Aşağıdaki bakım ürünlerinden hangilerini düzenli olarak kullanıyorsun? (Bu soruya birden fazla cevap verebilirsin.),Güneş kremi,3085,0.0436
119,Aşağıdaki bakım ürünlerinden hangilerini düzenli olarak kullanıyorsun? (Bu soruya birden fazla cevap verebilirsin.),Makyaj malzemeleri,5130,0.0725
119,Aşağıdaki bakım ürünlerinden hangilerini düzenli olarak kullanıyorsun? (Bu soruya birden fazla cevap verebilirsin.),Parfüm,7196,0.1017
119,Aşağıdaki bakım ürünlerinden hangilerini düzenli olarak kullanıyorsun? (Bu soruya birden fazla cevap verebilirsin.),Tıraş malzemeleri,1709,0.0242
119,Aşağıdaki bakım ürünlerinden hangilerini düzenli olarak kullanıyorsun? (Bu soruya birden fazla cevap verebilirsin.),Vücut bakımı ürünleri,4278,0.0605
119,Aşağıdaki bakım ürünlerinden hangilerini düzenli olarak kullanıyorsun? (Bu soruya birden fazla cevap verebilirsin.),Yüz bakımı ürünleri,6704,0.0947
119,Aşağıdaki bakım ürünlerinden hangilerini düzenli olarak kullanıyorsun? (Bu soruya birden fazla cevap verebilirsin.),Diğer,992,0.014
120,Kozmetik ürün satın alırken hangisine dikkat ediyorsun? (Bu soruya birden fazla cevap verebilirsin.),Dermatolojik olmasına,7213,0.1885
120,Kozmetik ürün satın alırken hangisine dikkat ediyorsun? (Bu soruya birden fazla cevap verebilirsin.),Doğal içerikli olmasına,8004,0.2092
120,Kozmetik ürün satın alırken hangisine dikkat ediyorsun? (Bu soruya birden fazla cevap verebilirsin.),Hayvanlar üzerinde test edilmemiş olmasına,3625,0.0947
120,Kozmetik ürün satın alırken hangisine dikkat ediyorsun? (Bu soruya birden fazla cevap verebilirsin.),İndirimde olmasına,7333,0.1916
120,Kozmetik ürün satın alırken hangisine dikkat ediyorsun? (Bu soruya birden fazla cevap verebilirsin.),Lüks olmasına,1103,0.0288
120,Kozmetik ürün satın alırken hangisine dikkat ediyorsun? (Bu soruya birden fazla cevap verebilirsin.),Uygun fiyatlı olmasına,7848,0.2051
120,Kozmetik ürün satın alırken hangisine dikkat ediyorsun? (Bu soruya birden fazla cevap verebilirsin.),Vegan olmasına,1100,0.0287
120,Kozmetik ürün satın alırken hangisine dikkat ediyorsun? (Bu soruya birden fazla cevap verebilirsin.),Hiçbiri,849,0.0222
120,Kozmetik ürün satın alırken hangisine dikkat ediyorsun? (Bu soruya birden fazla cevap verebilirsin.),Diğer,1191,0.0311
121,Saç tipini en iyi hangisi/ hangileri ifade ediyor? ((Bu soruya birden fazla cevap verebilirsin.),Kuru,4219,0.0722
121,Saç tipini en iyi hangisi/ hangileri ifade ediyor? ((Bu soruya birden fazla cevap verebilirsin.),Normal,6693,0.1145
121,Saç tipini en iyi hangisi/ hangileri ifade ediyor? ((Bu soruya birden fazla cevap verebilirsin.),Yağlı,6657,0.1139
121,Saç tipini en iyi hangisi/ hangileri ifade ediyor? ((Bu soruya birden fazla cevap verebilirsin.),Dalgalı,8375,0.1433
121,Saç tipini en iyi hangisi/ hangileri ifade ediyor? ((Bu soruya birden fazla cevap verebilirsin.),Düz,5491,0.0939
121,Saç tipini en iyi hangisi/ hangileri ifade ediyor? ((Bu soruya birden fazla cevap verebilirsin.),Kıvırcık,2764,0.0473
121,Saç tipini en iyi hangisi/ hangileri ifade ediyor? ((Bu soruya birden fazla cevap verebilirsin.),Yıpranmış,4932,0.0844
121,Saç tipini en iyi hangisi/ hangileri ifade ediyor? ((Bu soruya birden fazla cevap verebilirsin.),Boyalı,5051,0.0864
121,Saç tipini en iyi hangisi/ hangileri ifade ediyor? ((Bu soruya birden fazla cevap verebilirsin.),İnce telli,8713,0.1491
121,Saç tipini en iyi hangisi/ hangileri ifade ediyor? ((Bu soruya birden fazla cevap verebilirsin.),Kalın telli,5047,0.0863
121,Saç tipini en iyi hangisi/ hangileri ifade ediyor? ((Bu soruya birden fazla cevap verebilirsin.),Diğer,507,0.0087
122,Aşağıdakilerden hangilerinin lüks olanlarını tercih ediyorsun? (Bu soruya birden fazla cevap verebilirsin.),Otomotiv,4757,0.1289
122,Aşağıdakilerden hangilerinin lüks olanlarını tercih ediyorsun? (Bu soruya birden fazla cevap verebilirsin.),Cep telefonu,7646,0.2072
122,Aşağıdakilerden hangilerinin lüks olanlarını tercih ediyorsun? (Bu soruya birden fazla cevap verebilirsin.),Restoranlar,3182,0.0862
122,Aşağıdakilerden hangilerinin lüks olanlarını tercih ediyorsun? (Bu soruya birden fazla cevap verebilirsin.),Saat/Aksesuar/Parfüm vb.,5500,0.149
122,Aşağıdakilerden hangilerinin lüks olanlarını tercih ediyorsun? (Bu soruya birden fazla cevap verebilirsin.),Kıyafet,5598,0.1517
122,Aşağıdakilerden hangilerinin lüks olanlarını tercih ediyorsun? (Bu soruya birden fazla cevap verebilirsin.),Diğer,1940,0.0526
122,Aşağıdakilerden hangilerinin lüks olanlarını tercih ediyorsun? (Bu soruya birden fazla cevap verebilirsin.),Lüks ürünleri tercih etmiyorum.,8278,0.2243
123,Kıyafet alışverişi yaparken hangi mağazaları tercih ediyorsun? (Bu soruya birden fazla cevap verebilirsin.),Semt pazarı,7844,0.1215
123,Kıyafet alışverişi yaparken hangi mağazaları tercih ediyorsun? (Bu soruya birden fazla cevap verebilirsin.),Cadde mağazaları,13439,0.2082
123,Kıyafet alışverişi yaparken hangi mağazaları tercih ediyorsun? (Bu soruya birden fazla cevap verebilirsin.),AVM mağazaları,15077,0.2336
123,Kıyafet alışverişi yaparken hangi mağazaları tercih ediyorsun? (Bu soruya birden fazla cevap verebilirsin.),"Zincir mağazalar (LCW, DeFacto, Flo vb.)",15344,0.2377
123,Kıyafet alışverişi yaparken hangi mağazaları tercih ediyorsun? (Bu soruya birden fazla cevap verebilirsin.),"Zincir mağazalar (Zara, Bershka, Koton, Lacoste vb)",11486,0.1779
123,Kıyafet alışverişi yaparken hangi mağazaları tercih ediyorsun? (Bu soruya birden fazla cevap verebilirsin.),"Lüks marka mağazaları (Chanel, Prada, Burberry, Versace vb)",1363,0.0211
124,Senin favorin hangi tip fast food mekanları? (Bu soruya birden fazla cevap verebilirsin.),Burger King / Mc Donald’s / KFC gibi mekanlar,20439,0.4826
124,Senin favorin hangi tip fast food mekanları? (Bu soruya birden fazla cevap verebilirsin.),Big Chef’s / Nusr-et Burger / Burger Joint / Huqqa gibi mekanlar,3339,0.0788
124,Senin favorin hangi tip fast food mekanları? (Bu soruya birden fazla cevap verebilirsin.),Taksim / Bambi / Marmaris / Kızılkayalar gibi mekanlar,1708,0.0403
124,Senin favorin hangi tip fast food mekanları? (Bu soruya birden fazla cevap verebilirsin.),Mekan benim için pek fark etmiyor.,9858,0.2328
124,Senin favorin hangi tip fast food mekanları? (Bu soruya birden fazla cevap verebilirsin.),Fast food benim tarzım değil.,7010,0.1655
126,Burcun ne tatlım?,Koç,2668,0.0823
126,Burcun ne tatlım?,Boğa,2595,0.0801
126,Burcun ne tatlım?,İkizler,2926,0.0903
126,Burcun ne tatlım?,Yengeç,3023,0.0933
126,Burcun ne tatlım?,Aslan,3102,0.0957
126,Burcun ne tatlım?,Başak,2980,0.092
126,Burcun ne tatlım?,Terazi,2700,0.0833
126,Burcun ne tatlım?,Akrep,2559,0.079
126,Burcun ne tatlım?,Yay,2248,0.0694
126,Burcun ne tatlım?,Oğlak,2567,0.0792
126,Burcun ne tatlım?,Kova,2502,0.0772
126,Burcun ne tatlım?,Balık,2533,0.0782
